the	cube	in	front	and	to	the	right	of	the	black	bottle	with	the	white	cap	.								
SNP	SNP	PRP	PRP	CONJ	PRP	PRP	PRP	PRP	SNP	SNP	SNP	SNP	SNP	SNP	SNP	.								
																								
hand	me	the	orange	cube	that	is	on	the	far	right														
VB	VB	SNP	SNP	SNP	IGN	IGN	REL	REL	REL	REL														
																								
pick	up	the	orange	cube	behind	and	to	the	right	of	the	cup	.											
VB	VB	SNP	SNP	SNP	PRP	CONJ	PRP	PRP	PRP	PRP	SNP	SNP	.											
																								
it	is	the	orange	cube	furthest	to	the	right																
VB	VB	SNP	SNP	SNP	REL	REL	REL	REL																
																								
orange	cube	to	your	far	right																			
SNP	SNP	REL	REL	REL	REL																			
																								
i	want	the	cube	next	to	the	right	of	the	black	bottle	with	the	white	lid	.								
VB	VB	SNP	SNP	PRP	PRP	PRP	PRP	PRP	SNP	SNP	SNP	SNP	SNP	SNP	SNP	.								
																								
orange	cube	furthest	right																					
SNP	SNP	REL	REL																					
																								
please	get	me	the	orange	cube	that	is	the	right	most														
IGN	VB	VB	SNP	SNP	SNP	IGN	IGN	REL	REL	REL														
																								
the	cube	right	in	front	of	the	yellow	bowl	.															
SNP	SNP	PRP	PRP	PRP	PRP	SNP	SNP	SNP	.															
																								
i	want	the	orange	cube	between	the	blue	bowl	and	the	red	cup	.											
VB	VB	SNP	SNP	SNP	PRP	SNP	SNP	SNP	*UNK*	SNP	SNP	SNP	.											
																								
it	is	the	orange	cube	nearest	you																		
VB	VB	SNP	SNP	SNP	PRP	SNP																		
																								
please	get	me	the	orange	cube	in	front	of	the	yellow	bowl													
IGN	VB	VB	SNP	SNP	SNP	PRP	PRP	PRP	SNP	SNP	SNP													
																								
orange	cube	besides	the	cup	.																			
SNP	SNP	PRP	SNP	SNP	.																			
																								
orange	cube	to	your	close	front	right																		
SNP	SNP	REL	REL	REL	REL	REL																		
																								
orange	cube	nearest	the	yellow	bowl																			
SNP	SNP	PRP	SNP	SNP	SNP																			
																								
pick	up	the	orange	cube	in	front	of	the	yellow	bowl	.													
VB	VB	SNP	SNP	SNP	PRP	PRP	PRP	SNP	SNP	SNP	.													
																								
hand	me	the	orange	cube	that	is	in	front	of	yellow	bowl													
VB	VB	SNP	SNP	SNP	IGN	IGN	PRP	PRP	PRP	SNP	SNP													
																								
it	is	the	orange	cube	between	the	tan	and	blue	bowls	near	you												
VB	VB	SNP	SNP	SNP	PRP	SNP	SNP	PRP	SNP	SNP	PRP	SNP												
																								
the	orange	cube	in	front	of	the	the	brown	bowl	.														
SNP	SNP	SNP	PRP	PRP	PRP	SNP	SNP	SNP	SNP	.														
																								
the	orange	cube	close	to	the	robot	between	the	brown	and	blue	bowls	.											
SNP	SNP	SNP	PRP	PRP	SNP	SNP	PRP	SNP	SNP	PRP	SNP	SNP	.											
																								
orange	cube	between	you	and	wood	bowl																		
SNP	SNP	PRP	SNP	PRP	SNP	SNP																		
																								
pick	the	orange	cube	to	the	left	of	blue	bowl	.														
VB	SNP	SNP	SNP	PRP	PRP	PRP	PRP	SNP	SNP	.														
																								
please	get	me	the	orange	cube	between	the	blue	and	brown	bowl													
IGN	VB	VB	SNP	SNP	SNP	PRP	SNP	SNP	PRP	SNP	SNP													
																								
orange	cube	to	your	close	left																			
SNP	SNP	REL	REL	REL	REL																			
																								
it	is	the	orange	cube	right	in	the	middle	between	the	yellow	and	tan	bowls										
VB	VB	SNP	SNP	SNP	REL	REL	REL	REL	PRP	SNP	SNP	PRP	SNP	SNP										
																								
please	get	me	the	orange	cube	in	front	of	the	green	ball													
IGN	VB	VB	SNP	SNP	SNP	PRP	PRP	PRP	SNP	SNP	SNP													
																								
hand	me	the	orange	cube	closest	to	the	lime	.															
VB	VB	SNP	SNP	SNP	PRP	PRP	SNP	SNP	.															
																								
the	orange	block	between	the	3	bowls	.																	
SNP	SNP	SNP	PRP	PRP	SNP	SNP	.																	
																								
orange	cube	between	the	yellow	and	wooden	bowls																	
SNP	SNP	PRP	SNP	SNP	PRP	SNP	SNP																	
																								
the	orange	cube	is	placed	in	left	of	the	robot	and	its	in	between	three	cups	colored	yellow							
SNP	SNP	SNP	IGN	IGN	IGN	PRP	PRP	SNP	SNP	CONJ	IGN	PRP	PRP	SNP	SNP	SNP	SNP							
																								
i	want	the	orange	cube	that	is	behind	the	blue	bowl	and	in	front	of	the	lime	.							
VB	VB	SNP	SNP	SNP	IGN	IGN	PRP	SNP	SNP	SNP	CONJ	PRP	PRP	PRP	SNP	SNP	.							
																								
the	orange	cube	directly	behind	the	yellow	bowl	.																
SNP	SNP	SNP	PRP	PRP	SNP	SNP	SNP	.																
																								
give	me	the	cube	in	front	of	the	yellow	bowl															
VB	VB	SNP	SNP	PRP	PRP	PRP	SNP	SNP	SNP															
																								
give	me	the	orange	cube	directly	behind	the	yellow	bowl	.														
VB	VB	SNP	SNP	SNP	PRP	PRP	SNP	SNP	SNP	.														
																								
orange	block	closest	and	behind	the	yellow	bowl																	
SNP	SNP	PRP	CONJ	PRP	SNP	SNP	SNP																	
																								
please	get	me	the	orange	cube	behind	the	yellow	bowl															
IGN	VB	VB	SNP	SNP	SNP	PRP	SNP	SNP	SNP															
																								
it	is	the	one	that	is	second	closest	to	me															
VB	VB	*UNK*	*UNK*	IGN	IGN	PRP	PRP	PRP	SNP															
																								
the	orange	block	second	furthest	away	from	the	robot																
SNP	SNP	SNP	PRP	PRP	PRP	PRP	SNP	SNP																
																								
orange	cube	2	nd	closest	to	me																		
SNP	SNP	PRP	PRP	PRP	PRP	SNP																		
																								
i	want	the	orange	cube	that	is	between	the	vaseline	and	the	purple	cube	on	the	left	.							
VB	VB	SNP	SNP	SNP	IGN	IGN	PRP	SNP	SNP	PRP	SNP	SNP	SNP	REL	REL	REL	.							
																								
take	the	orange	cube	between	the	vaseline	and	purple	cube															
VB	SNP	SNP	SNP	PRP	SNP	SNP	PRP	SNP	SNP															
																								
hand	me	the	orange	cube	that	is	to	right	of	white	spoon													
VB	VB	SNP	SNP	SNP	IGN	IGN	PRP	PRP	PRP	SNP	SNP													
																								
orange	cube	furthest	left																					
SNP	SNP	REL	REL																					
																								
please	get	me	the	orange	cube	that	is	the	left	most														
IGN	VB	VB	SNP	SNP	SNP	IGN	IGN	REL	REL	REL														
																								
hand	me	the	orange	cube	furthest	to	your	left	.															
VB	VB	SNP	SNP	SNP	REL	REL	REL	REL	.															
																								
it	is	the	orange	cube	furthest	to	the	left																
VB	VB	SNP	SNP	SNP	REL	REL	REL	REL																
																								
i	want	the	cube	that	is	all	the	way	to	the	left	between	the	vaseline	and	the	purple	cube	.					
VB	VB	SNP	SNP	IGN	IGN	REL	REL	REL	REL	REL	REL	PRP	SNP	SNP	PRP	SNP	SNP	SNP	.					
																								
hand	me	the	orange	cube	that	is	closer	to	me															
VB	VB	SNP	SNP	SNP	IGN	IGN	PRP	PRP	VB															
																								
pick	up	the	orange	cube	closest	to	me																	
VB	VB	SNP	SNP	SNP	PRP	PRP	SNP																	
																								
it	is	the	orange	cube	nearest	to	me																	
VB	VB	SNP	SNP	SNP	PRP	PRP	SNP																	
																								
please	get	me	the	orange	cube	closest	to	me																
IGN	VB	VB	SNP	SNP	SNP	PRP	PRP	SNP																
																								
the	orange	cube	that	is	the	furthest	from	you	.															
SNP	SNP	SNP	IGN	IGN	PRP	PRP	PRP	SNP	.															
																								
i	want	the	cube	that	is	the	furthest	away	from	you	.													
VB	VB	SNP	SNP	IGN	IGN	PRP	PRP	PRP	PRP	SNP	.													
																								
i	want	the	orange	cube	that	is	behind	the	lime	closest	to	me	.											
VB	VB	SNP	SNP	SNP	IGN	IGN	PRP	SNP	SNP	PRP	PRP	SNP	.											
																								
orange	block	nearest	the	person																				
SNP	SNP	PRP	SNP	SNP																				
																								
the	cube	that	is	furthest	away	in	front	of	you	.														
SNP	SNP	IGN	IGN	REL	REL	PRP	PRP	PRP	SNP	.														
																								
please	get	me	the	orange	cube	behind	the	spoon																
IGN	VB	VB	SNP	SNP	SNP	PRP	SNP	SNP																
																								
the	orange	cube	behind	the	spoon																			
SNP	SNP	SNP	PRP	SNP	SNP																			
																								
bring	the	orange	cube	between	the	white	spoon	and	black	bottle	.													
VB	SNP	SNP	SNP	PRP	SNP	SNP	SNP	PRP	SNP	SNP	.													
																								
orange	block	behind	the	spoon																				
SNP	SNP	PRP	SNP	SNP																				
																								
hand	the	orange	cube	furthest	to	your	right	.																
VB	SNP	SNP	SNP	REL	REL	REL	REL	.																
																								
it	is	the	orange	cube	furthest	to	the	right																
VB	VB	SNP	SNP	SNP	REL	REL	REL	REL																
																								
pick	the	right	most	orange	cube	behind	the	spoon	.															
VB	REL	REL	REL	SNP	SNP	PRP	SNP	SNP	.															
																								
the	orange	cube	to	the	far	right	of	the	robot															
SNP	SNP	SNP	PRP	PRP	PRP	PRP	PRP	SNP	SNP															
																								
pick	the	orange	cube	behind	the	wooden	bowl	.																
VB	SNP	SNP	SNP	PRP	SNP	SNP	SNP	.																
																								
orange	cube	between	the	lime	and	wood	bowl																	
SNP	SNP	PRP	SNP	SNP	PRP	SNP	SNP																	
																								
orange	cube	between	the	wooden	bowl	and	kiwi																	
SNP	SNP	PRP	SNP	SNP	SNP	PRP	SNP																	
																								
it	is	the	orange	cube	between	the	lime	and	tan	bowl														
VB	VB	SNP	SNP	SNP	PRP	SNP	SNP	PRP	SNP	SNP														
																								
hand	me	the	orange	cube	that	is	in	front	of	you														
VB	VB	SNP	SNP	SNP	IGN	IGN	PRP	PRP	PRP	SNP														
																								
please	get	me	the	orange	cube	in	front	of	the	green	ball													
IGN	VB	VB	SNP	SNP	SNP	PRP	PRP	PRP	SNP	SNP	SNP													
																								
pick	up	the	orange	cube	behind	the	wooden	bowl	.															
VB	VB	SNP	SNP	SNP	PRP	SNP	SNP	SNP	.															
																								
pick	up	the	orange	cube	that	is	between	the	wooden	bowl	and	the	green	ball	.									
VB	VB	SNP	SNP	SNP	IGN	IGN	PRP	SNP	SNP	SNP	PRP	SNP	SNP	SNP	.									
																								
the	cube	between	the	wooden	bowl	and	green	sphere	.															
SNP	SNP	PRP	SNP	SNP	SNP	PRP	SNP	SNP	.															
																								
orange	cube	between	wood	and	blue	bowl																		
SNP	SNP	PRP	SNP	PRP	SNP	SNP																		
																								
the	cube	between	the	green	and	blue	cup	.																
SNP	SNP	PRP	SNP	SNP	PRP	SNP	SNP	.																
																								
orange	cube	between	the	blue	and	wooden	bowl	.																
SNP	SNP	PRP	SNP	SNP	PRP	SNP	SNP	.																
																								
please	get	me	the	orange	cube	closest	to	you																
IGN	VB	VB	SNP	SNP	SNP	PRP	PRP	SNP																
																								
it	is	the	orange	cube	nearest	to	you																	
VB	VB	SNP	SNP	SNP	PRP	PRP	SNP																	
																								
the	cube	between	the	blue	bowl	and	the	wooden	bowl	.														
SNP	SNP	PRP	SNP	SNP	SNP	PRP	SNP	SNP	SNP	.														
																								
i	want	the	orange	cube	that	is	between	the	blue	bowl	and	the	wooden	bowl	.									
VB	VB	SNP	SNP	SNP	IGN	IGN	PRP	SNP	SNP	SNP	PRP	SNP	SNP	SNP	.									
																								
bring	the	cube	nearest	to	the	yellow	bowl	.																
VB	SNP	SNP	PRP	PRP	SNP	SNP	SNP	.																
																								
directly	in	the	middle	and	closest	to	the	yellow	bowl															
PRP	REL	REL	REL	CONJ	PRP	PRP	SNP	SNP	SNP															
																								
please	get	me	the	orange	cube	in	front	of	the	yellow	bowl													
IGN	VB	VB	SNP	SNP	SNP	PRP	PRP	PRP	SNP	SNP	SNP													
																								
orange	cube	nearest	the	yellow	bowl																			
SNP	SNP	PRP	SNP	SNP	SNP																			
																								
orange	cube	closest	to	the	front	of	the	yellow	bowl															
SNP	SNP	PRP	PRP	SNP	SNP	SNP	SNP	SNP	SNP															
																								
i	want	the	orange	cube	in	front	of	the	yellow	bowl	that	is	to	the	left	of	the	lime	.					
VB	VB	SNP	SNP	SNP	PRP	PRP	PRP	SNP	SNP	SNP	IGN	IGN	PRP	PRP	PRP	PRP	SNP	SNP	.					
																								
bring	me	the	orange	cube	close	to	the	yellow	bowl	.														
VB	VB	SNP	SNP	SNP	PRP	PRP	SNP	SNP	SNP	.														
																								
pick	the	orange	cube	in	front	of	the	blue	bowl	.														
VB	SNP	SNP	SNP	PRP	PRP	PRP	SNP	SNP	SNP	.														
																								
hand	me	the	orange	cube	that	is	left	of	yellow	bowl														
VB	VB	SNP	SNP	SNP	IGN	IGN	PRP	PRP	SNP	SNP														
																								
it	is	the	orange	cube	nearest	to	me																	
VB	VB	SNP	SNP	SNP	PRP	PRP	SNP																	
																								
the	closest	cube	to	the	left	of	the	yellow	bowl	.														
SNP	SNP	SNP	PRP	PRP	PRP	PRP	SNP	SNP	SNP	.														
																								
i	want	the	orange	cube	behind	the	blue	bowl	to	the	left	of	the	yellow	bowl	.								
VB	VB	SNP	SNP	SNP	PRP	SNP	SNP	SNP	PRP	PRP	PRP	PRP	SNP	SNP	SNP	.								
																								
orange	cube	directly	past	the	blue	bowl																		
SNP	SNP	PRP	PRP	SNP	SNP	SNP																		
																								
please	get	me	the	orange	cube	closest	to	me																
IGN	VB	VB	SNP	SNP	SNP	PRP	PRP	SNP																
																								
please	get	me	the	orange	cube	that	is	the	left	most														
IGN	VB	VB	SNP	SNP	SNP	IGN	IGN	REL	REL	REL														
																								
orange	cube	on	the	far	left																			
SNP	SNP	REL	REL	REL	REL																			
																								
hand	me	the	orange	cube	that	is	to	the	far	right														
VB	VB	SNP	SNP	SNP	IGN	IGN	REL	REL	REL	REL														
																								
the	orange	cube	behind	the	vaseline	.																		
SNP	SNP	SNP	PRP	SNP	SNP	.																		
																								
it	is	the	orange	cube	furthest	to	the	left																
