HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.ref_exp_1,Input.image_url_1,Input.line_no_1,Answer.better,Answer.id_1,Answer.line_no_1,Answer.understand,Approve,Reject
302OLP89DZ7POI5N4QVPVQS5CL1CAP,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:39 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:39 PDT 2015,,,3AQF3RZ558IXQCAOVH9GBB75UYPF6M,AJPQEZBVJXVE9,Approved,Mon Oct 19 17:28:55 PDT 2015,Mon Oct 19 17:29:04 PDT 2015,Tue Oct 20 01:29:04 PDT 2015,2015-10-20 08:33:11 UTC,,,9,100% (43/43),100% (43/43),100% (43/43),The cube between the blue bowl and the wooden bowl.,https://s3.amazonaws.com/gmmdev/Round+9/Scene_2_Turk.jpg,78,no,object_3,78,yes,X,
302OLP89DZ7POI5N4QVPVQS5CL1CAP,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:39 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:39 PDT 2015,,,3EO896NRAWVJXC7WAK8U1JRB7DITJF,A2SVNXNMD7E7EH,Approved,Mon Oct 19 17:31:58 PDT 2015,Mon Oct 19 17:40:15 PDT 2015,Tue Oct 20 01:40:15 PDT 2015,2015-10-20 08:43:09 UTC,,,497,100% (79/79),100% (79/79),100% (79/79),The cube between the blue bowl and the wooden bowl.,https://s3.amazonaws.com/gmmdev/Round+9/Scene_2_Turk.jpg,78,no,object_3,78,yes,X,
302OLP89DZ7POI5N4QVPVQS5CL1CAP,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:39 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:39 PDT 2015,,,3UNH76FOCS55F6CBNN8LPSB7Q9VMY1,A333STM8M95GJX,Approved,Mon Oct 19 17:33:53 PDT 2015,Mon Oct 19 17:34:03 PDT 2015,Tue Oct 20 01:34:03 PDT 2015,2015-10-20 08:38:11 UTC,,,10,100% (39/39),100% (39/39),100% (39/39),The cube between the blue bowl and the wooden bowl.,https://s3.amazonaws.com/gmmdev/Round+9/Scene_2_Turk.jpg,78,no,object_3,78,yes,X,
302OLP89DZ7POI5N4QVPVQS5CL2ACO,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:48 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:48 PDT 2015,,,33PPUNGG385WHCZ8OH6LPYEJ2QYZRT,A2WKZI3JQCE3Z6,Approved,Mon Oct 19 17:36:29 PDT 2015,Mon Oct 19 17:36:36 PDT 2015,Tue Oct 20 01:36:36 PDT 2015,2015-10-20 08:38:18 UTC,,,7,100% (90/90),100% (90/90),100% (90/90),I want the orange cube that is between the garlic press and the chili.,https://s3.amazonaws.com/gmmdev/Round+9/Scene_G_Turk.jpg,678,no,object_5,678,yes,X,
302OLP89DZ7POI5N4QVPVQS5CL2ACO,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:48 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:48 PDT 2015,,,34QN5IT0TZRTXMEMLENTSIGSURS80Z,A2SVNXNMD7E7EH,Approved,Mon Oct 19 17:36:15 PDT 2015,Mon Oct 19 17:36:23 PDT 2015,Tue Oct 20 01:36:23 PDT 2015,2015-10-20 08:38:17 UTC,,,8,100% (79/79),100% (79/79),100% (79/79),I want the orange cube that is between the garlic press and the chili.,https://s3.amazonaws.com/gmmdev/Round+9/Scene_G_Turk.jpg,678,no,object_5,678,yes,X,
302OLP89DZ7POI5N4QVPVQS5CL2ACO,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:48 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:48 PDT 2015,,,3X0H8UUIT1O4OWUGSJMJG4PX7QDWSO,A9FCR1QRZAM3U,Approved,Mon Oct 19 17:34:51 PDT 2015,Mon Oct 19 17:35:04 PDT 2015,Tue Oct 20 01:35:04 PDT 2015,2015-10-20 08:38:13 UTC,,,13,100% (143/143),100% (143/143),100% (143/143),I want the orange cube that is between the garlic press and the chili.,https://s3.amazonaws.com/gmmdev/Round+9/Scene_G_Turk.jpg,678,no,object_5,678,yes,X,
302U8RURJZ1S7A5C4BVZ7O0UWZHNVK,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:51 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:51 PDT 2015,,,34YB12FSQYO5TFRBTHMFIS43LD4MG2,A2SVNXNMD7E7EH,Approved,Mon Oct 19 17:27:02 PDT 2015,Mon Oct 19 17:35:19 PDT 2015,Tue Oct 20 01:35:19 PDT 2015,2015-10-20 08:38:14 UTC,,,497,100% (79/79),100% (79/79),100% (79/79),please get me the orange cube  in front of the vaseline,https://s3.amazonaws.com/gmmdev/Round+9/Scene_A_Turk.jpg,421,yes,object_3,421,no,X,
302U8RURJZ1S7A5C4BVZ7O0UWZHNVK,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:51 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:51 PDT 2015,,,3907X2AHF05LZOGHMITIXS4XGZBP2J,A2WKZI3JQCE3Z6,Approved,Mon Oct 19 17:32:30 PDT 2015,Mon Oct 19 17:32:38 PDT 2015,Tue Oct 20 01:32:38 PDT 2015,2015-10-20 08:33:20 UTC,,,8,100% (90/90),100% (90/90),100% (90/90),please get me the orange cube  in front of the vaseline,https://s3.amazonaws.com/gmmdev/Round+9/Scene_A_Turk.jpg,421,yes,object_1,421,yes,X,
302U8RURJZ1S7A5C4BVZ7O0UWZHNVK,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:51 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:51 PDT 2015,,,3ZSANO2JCF72DA8L2UCJCG3XCNMFS8,ASHXZ2ZVZ6HF0,Approved,Mon Oct 19 17:20:01 PDT 2015,Mon Oct 19 17:20:19 PDT 2015,Tue Oct 20 01:20:19 PDT 2015,2015-10-20 08:23:14 UTC,,,18,100% (32/32),100% (7/7),100% (7/7),please get me the orange cube  in front of the vaseline,https://s3.amazonaws.com/gmmdev/Round+9/Scene_A_Turk.jpg,421,no,object_1,421,yes,X,
307FVKVSYRF4ACUA48DN21ERJ0E47D,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:43 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:43 PDT 2015,,,388U7OUMF71ZFRTIKNTTJZBXKJD0R0,A9FCR1QRZAM3U,Approved,Mon Oct 19 17:11:31 PDT 2015,Mon Oct 19 17:11:49 PDT 2015,Tue Oct 20 01:11:49 PDT 2015,2015-10-20 08:13:15 UTC,,,18,100% (143/143),100% (143/143),100% (143/143),orange cube right in the middle between the pepper and spoon,https://s3.amazonaws.com/gmmdev/Round+9/Scene_4_Turk.jpg,184,no,object_4,184,no,X,
